iter	thetaS	mu	kappa	phi	moveType	accepted	likelihood	alpha	nblocks	nrblocks	param0	param1	omega0	rho0
1460	4.62043e-06	2.07363e-05	5.52542	0	8	1	-6058.41	0.69893	1	1	0	1.23601e+24	644.708	1.23601e+24
1470	2.50614e-06	1.12474e-05	5.52542	0	2	0	-6058.48	-0.43886	1	1	0	1000.92	1519.92	7.47247e+23
1480	1.08329e-06	8.00741e-06	2.89859	0	7	1	-6058.72	-0.332676	1	1	2.89859	1769.55	1769.55	3.26294e+23
1490	2.70947e-06	1.46444e-05	4.39104	0	8	1	-6058.62	0.0307888	1	1	0	7.19894e+23	1608.84	7.19894e+23
1500	1.66569e-06	1.62227e-05	1.92	0	2	1	-6058.81	0.131366	1	1	0	1986.88	1986.88	3.19054e+23
1510	1.46216e-06	1.64579e-05	1.50484	0	8	1	-6058.95	0.346124	1	1	0	7.58061e+23	1986.88	7.58061e+23
1520	2.43489e-06	1.48873e-05	3.74696	0	2	1	-6058.77	0.743656	1	1	0	1907.52	1907.52	3.50276e+23
1530	3.12066e-06	1.48873e-05	5.12932	0	6	0	-6062.54	-2.6026	1	1	2.75821e-05	1.90496e+23	2010.84	3.50276e+23
1540	4.27734e-06	2.04053e-05	5.12932	0	8	1	-6058.63	-0.524159	1	1	0	2.9883e+23	1051.58	2.9883e+23
1550	6.01851e-06	2.87116e-05	5.12932	0	2	1	-6059.37	0.432843	1	1	0	1060.95	1060.95	2.9883e+23
1560	1.53989e-05	6.8771e-05	5.55835	0	7	0	-6063.61	-3.15487	1	1	12.4447	454.085	454.085	7.31987e+23
1570	5.79042e-06	7.16899e-05	1.2626	0	7	1	-6060.07	1.30546	1	1	1.2626	865.872	865.872	7.31987e+23
1580	3.09528e-06	4.12159e-05	1.09241	0	7	1	-6059.36	-0.328326	1	1	1.09241	1.36478e+23	571.716	2.90088e+23
1590	1.01516e-05	9.79167e-05	1.94999	0	8	1	-6058.92	0.400118	1	1	0	4.32811e+23	178.887	4.32811e+23
1600	1.78393e-05	8.685e-05	5.00281	0	2	0	-6059.47	-2.0569	1	1	0	65.8476	178.887	4.87704e+23
1610	2.96968e-05	0.000136974	5.34498	0	7	1	-6058.9	0.0264699	1	1	5.34498	82.9279	178.887	2.15712e+23
1620	3.82016e-05	0.000153593	6.3027	0	8	1	-6058.48	0.55405	1	1	0	5.12152e+23	70.2447	5.12152e+23
1630	4.5341e-05	7.84002e-05	16.1941	0	2	1	-6059.66	-1.17664	1	1	0	32.8877	32.8877	3.40292e+23
1640	6.60213e-05	0.000151514	11.9153	0	7	1	-6058.93	-0.350637	1	1	11.9153	5.75109e+23	32.8877	5.75109e+23
1650	6.60213e-05	0.000151514	11.9153	0	8	1	-6058.74	0.10395	1	1	0	5.20051e+24	65.5682	5.20051e+24
1660	3.64737e-05	8.37044e-05	11.9153	0	8	1	-6058.82	0.942307	1	1	0	2.74825e+25	65.2942	2.74825e+25
1670	8.46952e-05	0.000180823	12.8949	0	6	1	-6060.01	-0.551845	1	1	0.000180823	92.3971	92.3971	7.4306e+24
1680	1.92531e-05	8.4249e-05	5.6967	0	6	1	-6059.14	0.230985	1	1	8.4249e-05	9.90049e+24	75.412	9.90049e+24
1690	4.09101e-05	8.4249e-05	13.411	0	7	1	-6059.48	1.91431	1	1	13.411	9.22755e+24	37.6274	1.76149e+25
1700	2.58919e-05	3.27694e-05	22.5501	0	2	0	-6059.98	-1.03279	1	1	0	55.0148	82.7522	1.95981e+25
1710	0.000175114	0.000148289	34.2771	0	6	1	-6064.03	-2.94976	1	1	0.000148289	1.55876e+25	82.7522	1.95981e+25
1720	0.000172244	0.000148289	33.6962	0	8	1	-6063.88	-0.0187898	1	1	0	2.33643e+25	82.7522	2.33643e+25
1730	0.00011648	0.00010028	33.6962	0	6	1	-6061.31	-1.15727	1	1	0.00010028	3.10204e+25	82.7522	3.10204e+25
1740	0.00011648	0.00010028	33.6962	0	8	1	-6061.2	0.542092	1	1	0	1.11941e+26	80.8343	1.11941e+26
1750	6.72273e-05	5.78776e-05	33.6962	0	6	1	-6059.39	-0.102763	1	1	5.78776e-05	1.2741e+26	44.9585	1.2741e+26
1760	4.48284e-05	5.78776e-05	22.0824	0	7	1	-6059.06	0.414022	1	1	22.0824	95.3883	95.3883	1.2741e+26
1770	6.47484e-05	5.78776e-05	32.411	0	2	1	-6059.35	0.0856291	1	1	0	66.594	66.594	2.41578e+26
1780	3.21667e-05	2.6541e-05	35.2093	0	2	0	-6060.68	-0.625985	1	1	0	258.171	134.806	3.63095e+26
1790	2.42707e-05	2.47255e-05	28.2964	0	8	0	-6059.2	-0.354876	1	1	0	2.5028e+26	168.672	3.569e+26
1800	1.84328e-05	1.87782e-05	28.2964	0	2	1	-6060.38	-2.1095	1	1	0	68.7882	68.7882	2.54111e+26
1810	1.01276e-05	9.5368e-06	30.7075	0	8	1	-6059.29	-0.568328	1	1	0	1.15505e+27	297.106	1.15505e+27
1820	1.12803e-05	6.46549e-06	51.1966	0	2	0	-6063.54	-2.747	1	1	0	1184.01	453.562	2.35161e+26
1830	1.13796e-05	6.5224e-06	51.1966	0	6	1	-6059.71	0.0114719	1	1	6.5224e-06	798.785	392.216	1.91266e+26
1840	9.2183e-06	5.28361e-06	51.1966	0	2	1	-6059.71	-0.350348	1	1	0	334.813	334.813	1.19237e+26
1850	1.13367e-05	6.49779e-06	51.1966	0	2	0	-6060.4	-1.61855	1	1	0	147.454	359.274	7.44136e+25
1860	8.89684e-06	3.28656e-06	80.076	0	6	1	-6060.35	-0.195586	1	1	3.28656e-06	2.98099e+25	259.429	2.98099e+25
1870	6.09533e-06	2.42183e-06	74.368	0	2	0	-6061.73	-1.35201	1	1	0	164.708	259.429	6.57629e+25
1880	2.00029e-05	6.5619e-06	90.3185	0	6	0	-6065.26	-3.01505	1	1	1.14492e-05	8.09727e+25	447.249	8.09727e+25
1890	1.43186e-05	4.69717e-06	90.3185	0	2	1	-6060.2	0.233242	1	1	0	305.69	305.69	3.21136e+25
1900	8.50298e-06	6.87841e-06	35.9362	0	2	1	-6059.43	0.230154	1	1	0	349.303	349.303	4.19454e+25
1910	1.24015e-05	5.63525e-06	64.8808	0	7	1	-6059.9	0.32274	1	1	64.8808	1.40109e+25	349.303	3.68113e+25
1920	3.1957e-05	1.45214e-05	64.8808	0	2	1	-6061.25	0.662222	1	1	0	267.853	267.853	1.51076e+25
1930	1.18012e-05	5.3625e-06	64.8808	0	2	1	-6060.99	-0.408867	1	1	0	677.715	677.715	4.96151e+25
1940	1.87799e-05	9.2486e-06	59.7753	0	7	1	-6060.56	0.218632	1	1	59.7753	2.29175e+26	377.079	2.29175e+26
1950	3.01071e-05	9.2486e-06	96.5295	0	2	0	-6063.88	-1.48808	1	1	0	434.956	320.534	3.24538e+26
1960	1.32214e-05	5.92532e-06	65.8005	0	6	1	-6059.9	0.292983	1	1	5.92532e-06	3.78779e+26	320.534	3.78779e+26
